id|nome|contrato_id|posto_id
c0f09707-e7a1-4ef8-b1dd-114b3da1040b|AUX ADMINISTRATIVO|27e23133-db59-4386-a015-33a7310768fb|bd86d8c6-4644-4284-83eb-72e22a5d0eac
ecc5b00a-3387-4f89-afc3-59ebf8f4f485|AUX ADMINISTRATIVO|27e23133-db59-4386-a015-33a7310768fb|5067bc2a-f14f-4204-90df-11fd4f4f1d25
ef95b426-72d7-446c-9f29-bbc3604e8172|AUX ADMINISTRATIVO|27e23133-db59-4386-a015-33a7310768fb|cea75e0b-326c-4174-a8da-b807546a2806
5f88e042-33f2-42a1-bdb9-60a7970716a6|AUX ADMINISTRATIVO|27e23133-db59-4386-a015-33a7310768fb|8007de8c-7901-4a3f-9bbd-9ab2234db148
b1e49983-abda-4d4d-b99c-c91c86d95cab|AUX ADMINISTRATIVO|27e23133-db59-4386-a015-33a7310768fb|3a218e71-d946-4c0c-86b7-022cc46b2fe5
d582adfc-b831-4e78-a820-6f21234b7194|AUX ADMINISTRATIVO|27e23133-db59-4386-a015-33a7310768fb|12efdabf-9872-4ac0-9162-e10bc48d886d
4e7995d6-3527-43f0-a751-c988dbb1d515|AUX ADMINISTRATIVO|27e23133-db59-4386-a015-33a7310768fb|3eb1a904-0778-4e89-896f-d4820f37354a
7056f893-f987-4991-bfda-0d6c89c1412c|AUX ADMINISTRATIVO|27e23133-db59-4386-a015-33a7310768fb|fb14ad5c-5c6c-4b66-b669-6bccd2b5f68c
08dff041-a6ba-45f1-9662-2b6b17afd352|AUX ADMINISTRATIVO|27e23133-db59-4386-a015-33a7310768fb|90c042f1-46df-41b1-897c-ffcdef836881
d85689ae-e335-40ec-a7c5-8fd6d0821f0e|AUX ADMINISTRATIVO|27e23133-db59-4386-a015-33a7310768fb|3ba9bd86-493b-4803-9c6f-c5987728b14b
12313d57-0e89-4895-a8cd-def6c3fba4e8|AUX DE ALMOXARIFADO|ce135d03-700c-45f3-a401-11913d9aa8ae|1261cbba-d7f6-41e6-af77-f8b507aba2cc
5c37884b-5aad-4030-8138-67112eac08a6|AUX DE ALMOXARIFADO|ce135d03-700c-45f3-a401-11913d9aa8ae|a5a2bbf6-9021-43e6-b45b-68efe125a9d1
765bfff5-46c2-4223-a96c-a23d3e8a368c|AUX DE ALMOXARIFADO|ce135d03-700c-45f3-a401-11913d9aa8ae|de5548b3-becd-4be9-be88-9f4a1848b993
9959d676-5568-4838-bca3-9bd646cdea47|AUX DE ALMOXARIFADO|ce135d03-700c-45f3-a401-11913d9aa8ae|b6a43d95-4fcf-4d32-b484-75583042a16a
54c3e22c-36a8-436c-a5c4-8fb249fec566|AUX DE ALMOXARIFADO|ce135d03-700c-45f3-a401-11913d9aa8ae|e938cc96-a633-4f9c-a47b-0d0949619ab5
ab675f49-446d-4c80-8c9a-3d6e46fef023|AUX DE ALMOXARIFADO|ce135d03-700c-45f3-a401-11913d9aa8ae|dff44277-d4f3-4507-b089-7aaeb9e08bde
5806aaf6-575b-4f56-8046-74def7f9612f|AUX DE COZINHA|27e23133-db59-4386-a015-33a7310768fb|3a218e71-d946-4c0c-86b7-022cc46b2fe5
727b33aa-ff82-4622-bd7d-3c68b1c7ceff|AUX DE COZINHA|27e23133-db59-4386-a015-33a7310768fb|39b4a254-29c1-4bfb-bd10-10fe8951637e
11669ba1-b067-4f61-b843-6742d07e7186|AUX DE COZINHA|27e23133-db59-4386-a015-33a7310768fb|31965679-454f-4eed-9e89-c32e3d32aa63
e08c0717-fe55-4fdb-90c7-a36fd27b3649|AUX DE COZINHA|27e23133-db59-4386-a015-33a7310768fb|a90417f7-2962-45f4-b046-5fcda2ebfe5e
a7f499d6-acbb-4abb-863c-11a0631dd106|AUX DE COZINHA|27e23133-db59-4386-a015-33a7310768fb|3ba9bd86-493b-4803-9c6f-c5987728b14b
8c99201d-0b83-448d-8dd4-e89ba2d0aaf2|AUX DE COZINHA|27e23133-db59-4386-a015-33a7310768fb|c72fe773-c443-4133-a857-237c9b4ce2b0
f815d300-2c6d-40a5-987e-1e38c6e2c9fb|AUX DE COZINHA|27e23133-db59-4386-a015-33a7310768fb|3eb1a904-0778-4e89-896f-d4820f37354a
cb13aec1-d548-4f74-b9df-053879e31d39|AUX DE COZINHA|27e23133-db59-4386-a015-33a7310768fb|65525d2b-a157-4836-a3a7-e2752c243f41
219cfe3b-6058-4c2d-8dd2-9b1db4e6323f|AUX DE COZINHA|27e23133-db59-4386-a015-33a7310768fb|39fb383f-3c57-4bf1-976d-7f14e8a254ca
2f122d20-b06b-4583-b590-0b1f15cdd792|AUX DE COZINHA|27e23133-db59-4386-a015-33a7310768fb|71627688-62e2-47c1-bfdb-e76daeb5d76d
cb32d52f-9284-4109-b0d4-3c93d4fad445|AUX DE COZINHA|27e23133-db59-4386-a015-33a7310768fb|e17cce14-0875-4598-adc9-5b16e527170f
c5d7462e-9ee7-4811-bc8a-3d87c020b28f|AUX DE COZINHA|27e23133-db59-4386-a015-33a7310768fb|157f55f9-f617-48d5-9c84-0d2421da8af0
