id|nome|contrato_id
598703b8-0195-4a3b-84b2-767f98fcdbe5|CELME|8500ea60-a5c4-495e-8c26-f009a34e2107
c4646f72-f135-40b2-82a8-2dd243a98b74|CENTRAL TELEFONICA|0c80ed99-cb97-4cb3-8f69-2c2a00e1a2cd
41bf8856-b575-4e57-a729-c25530f0b1ad|CENTRO ADMINISTRATIVO PREFEITO SAUL IRINEU FARINA|27e23133-db59-4386-a015-33a7310768fb
936d5878-cc9d-4eba-9e06-acddc9297bd1|CENTRO DE CONVIVÊNCIA|27e23133-db59-4386-a015-33a7310768fb
bc845227-2ca2-4b4b-a385-176ac5876dd4|CENTRO DE CONVIVÊNCIA IVO ZANELLA|27e23133-db59-4386-a015-33a7310768fb
4e1f2468-1bb0-4c93-823c-e21d59a64300|CEO BOM JESUS|8500ea60-a5c4-495e-8c26-f009a34e2107
fb79ef6d-a1de-47e2-b4bd-b4d7e827d5ce|CEO/SAMU/ALMOX|e30b03a4-9ecc-4cd1-8e71-8e68c93ab202
0cb70ecb-d18f-43c6-85d8-8ad58063e7b8|CHEFIA DE POLÍCIA|3918b9ef-ea35-415a-b9f1-9790c863da7f
55c712a0-f08b-4223-b553-7fccbb413a06|CIDADE DA POLICIA|3918b9ef-ea35-415a-b9f1-9790c863da7f
84b2ed40-6b77-478a-8f77-cf1a69ed9605|Clinica da familia IPAI|8500ea60-a5c4-495e-8c26-f009a34e2107
0f49acc5-0af7-453e-8b5d-dcc573198ead|COGEPOL|3918b9ef-ea35-415a-b9f1-9790c863da7f
5bc8ebbf-dffc-44e7-a4bb-4b4b7fab3a1c|COLETOR/GARI|86570111-d5f3-4788-97ea-c9e67298f8c0
b88dfec9-9f79-472e-8537-6a8e67039f9a|CONSELHO TUTELAR|27e23133-db59-4386-a015-33a7310768fb
39b4a254-29c1-4bfb-bd10-10fe8951637e|CONSELHO TUTELAR, COMDICA|27e23133-db59-4386-a015-33a7310768fb
