posto|n
UFFS - CERRO LARGO 041.2021|2
CORPO DE BOMBEIROS|2
DP IVOTI|2
3ª DP NOVO HAMBURGO|2
DP GLORINHA|2
UFRGS-ELDORADO-025|2
DHPP SÃO LEOPOLDO|2
1ª DP ALVORADA|2
ALÔ CAXIAS|2
DEAM GRAVATAÍ|2
DPPA SÃO LEOPOLDO|2
SEMAT/DMP/DAP|2
2ª DP VIAMÃO|2
PROPLAN – DECON|2
1ª DP VIAMÃO|2
DP SAPIRANGA|2
2ª DP NOVO HAMBURGO|2
HCV – HOSPITAL VETERINÁRIO|2
DP ESTÂNCIA VELHA|2
E.M.E.F GONCALVES DIAS|2
PROGESP – DCR|2
SEMAE - ZONA LESTE - 3038 2020|2
PORTARIA DA DIRETORIA ADMINISTRATIVA DA|2
EMEI QUINTAL MÁGICO|2
EMEI PINGUINHO DE GENTE|2
DEAM NOVO HAMBURGO|2
DP NOVA HARTZ|2
DEAM POA|2
DEAM ALVORADA|2
DEPGERTE|2
SECRETARIA DE EDUCAÇÃO|2
DHPP VIAMÃO|2
1ª DP CACHOEIRINHA|2
CAMPUS HCVET|2
DPPA ALVORADA|2
EMEF IRMÃ JOANA AIMÉ|2
DRACO SÃO LEOPOLDO|1
COGEPOL|1
DIRETORIA GERAL DE VIGILÂNCIA EM SAÚDE|1
UFRGS-ELDORADO-062|1
ESMA RESTINGA|1
3ª DHPP PORTO ALEGRE|1
GINASIO PORTO|1
PPGVET - PÓS DA FACULDADE DE VETERINÁRIA|1
GRÁFICA DA  UFRGS|1
2ª DHPP PORTO ALEGRE|1
CAMPUS ELDORADO|1
E.M.E.I AMOR PERFEITO|1
DPCI|1
FAC. AGRONOMIA – CIT|1
ESCOLA NEI BERBIGIER|1
EMEI GASPARZINHO|1
UFRGS-CENTRO-025|1
2ª DP CACHOEIRINHA|1
DEAM ESTEIO|1
DP CAPELA DE SANTANA|1
ESCOLA GUAIBA CITY|1
PROGESP DCP|1
CAT AEROPORTO|1
1ª DHPP PORTO ALEGRE|1
TORRE (APOIO)|1
MOTORISTA CAT. C|1
PORTARIA DA GDLE|1
UNIDADE CENTRAL DE SAÚDE E SECRETARIA MUNICIPAL DE SAÚDE|1
EMEI MARIA DO CARMO|1
PORTARIA DA GLIC|1
IPAM|1
ESCOLA OTAVIO LAZARO|1
4ª DP CANOAS/DPCA|1
EMEF SENADOR ALBERTO PASQUALINI|1
DPRPA - 17ª DP|1
DPRPA - 18ª DP|1
PORTARIA DE GCON / C-MICROM|1
PROPLAN – ARQUIVO|1
DHPP GRAVATAÍ|1
UBS VILA OTILIA|1
CONSELHO TUTELAR|1
Clinica da familia IPAI|1
1ª DP CANOAS|1
PORTARIA DO POSTO ATEND. AO CLIENTE CENTRO 2|1
DPRPA - 13ª DP|1
DERCAP|1
EMEI Virginia Bernardi|1
SAE Vila dos comerciários|1
FARMÁCIA BÁSICA CENTRAL|1
DRTC|1
DPRPA - 1ª DP|1
DPRPA - 2ª DP|1
DPRPA - 15ª DP|1
DP PAROBÉ|1
UNIDADE DO POSTO DE ESTRATÉGIA DE SAÚDE DA FAMÍLIA DO BAIRRO SANTO ANTÔNIO|1
EMEI CRIANÇA FELIZ|1
EMEI SANTA BARBARA|1
PORTARIA DO POSTO ATEND. AO CLIENTE CENTRO 3|1
UNIDADE DO POSTO DE ESTRATÉGIA DE SAÚDE DA FAMÍLIA DO BAIRRO UNIVERSAL|1
E.M.E.F JOSUE|1
DHPP CANOAS|1
FUNARBE PELOTAS|1
UBS OSMAR WIENK|1
PORTARIA DA DIREÇÃO GERAL DG 1|1
US IAPI E CEO ODONTO IAPI|1
PORTARIA DO POSTO ATEND. AO CLIENTE CENTRO 1|1
CREAS|1
PROGESP DAF|1
2ª DP SAPUCAIA DO SUL|1
CENTRAL TELEFONICA|1
DPRPA - 12ª DP|1
EMEF ALEXANDRE BACCHI|1
SECRETARIA DE EDUCAÇÃO, ESPORTES, LAZER E JUVENTUDE|1
UFRGS-LITORAL-025|1
DPRPA - 5ª DP|1
ESMA ASSIS BRASIL|1
UNIDADE DO POSTO DE ESTRATÉGIA DE SAÚDE DA FAMÍLIA DO BAIRRO RENOVAÇÃO|1
1ª DP GRAVATAÍ|1
UFRGS-CARREGADORES-CAMPUS VALE-095|1
CÂMARA MUNICIPAL DE VEREADORES|1
QUADRA SERAFIM|1
1ª DP SÃO LEOPOLDO|1
UFRGS-CAMPUS SAUDE-062|1
UFRGS-LITORAL-047|1
E.M.E.I MUNDO ENCANTADO|1
SEMAE - ETE VICENT. - 3038 2020|1
COORDENADORIA DE SEGURANÇA|1
DECA 3ª DPCA|1
CAT (Centro de Atenção ao Turista) Praça Dante Alighieri|1
CAPSi Harmonia|1
PORTARIA DA GSUP|1
PRONTO ATENDIMENTO CRUZEIRO DO SUL|1
DPPA CANOAS|1
PORTARIA DA GMAN-2(APOIO 1)|1
UFRGS-VALE/VETERINARIA-047|1
2º DEAM|1
ESCOLA MARIA DE LOURDES|1
PORTARIA DA GCON/C-LEITURA|1
DP DOIS IRMÃOS|1
Alô Caxias|1
DPTUR|1
EMEI FLORA|1
CAT PRAÇAS|1
IPASEM - PREDIO NOVO|1
(271 linhas)
